Index,is_smoothed,is_log,shapelet_size,trigger_lookback,outcome_window,sens_deaths_1,sens_deaths_2,sens_icu_2,spec_deaths_1,spec_deaths_2,spec_icu_2
0,0,0,3,4,5,0.703373423,0.363976751,0.538326328,0.339437961,0.240922045,0.528094411
1,0,0,3,4,6,0.739947518,0.400073805,0.578124681,0.522308438,0.421407317,0.727086176
2,0,0,3,4,7,0.77571001,0.452141858,0.60950548,0.736883387,0.733815634,0.915370975
3,0,0,3,4,8,0.809273949,0.4973816,0.627580337,0.971830958,1.050493827,1.04189497
4,0,0,3,4,9,0.832491827,0.541076408,0.644708675,1.157573983,1.400052293,1.178921678
5,0,0,3,5,5,0.699329795,0.360879349,0.53786453,0.333436365,0.238443344,0.550486885
6,0,0,3,5,6,0.737001439,0.40046566,0.583077218,0.521794585,0.4363749,0.776550321
7,0,0,3,5,7,0.773014333,0.45389978,0.618555465,0.737871951,0.756979617,0.989419806
8,0,0,3,5,8,0.809672798,0.499775618,0.639460236,0.994481207,1.078110486,1.135753202
9,0,0,3,5,9,0.834835165,0.545910295,0.658181052,1.195780139,1.447187904,1.28551973
10,0,0,3,6,5,0.694059944,0.358651529,0.532304501,0.310938562,0.234497104,0.568906872
11,0,0,3,6,6,0.730802557,0.391569425,0.582239968,0.494651629,0.399086585,0.818584208
12,0,0,3,6,7,0.768802052,0.449635828,0.620305513,0.722648599,0.747485002,1.04697748
13,0,0,3,6,8,0.808120628,0.497818021,0.642684,0.997878632,1.084760353,1.203626887
14,0,0,3,6,9,0.833746355,0.551107054,0.665004018,1.202884445,1.511072621,1.382187034
15,0,0,4,4,5,0.7166411,0.36492688,0.591745673,0.414518305,0.332592385,0.588060234
16,0,0,4,4,6,0.759887388,0.425274378,0.633977132,0.630749744,0.634329874,0.799217532
17,0,0,4,4,7,0.791603715,0.482629484,0.653263732,0.82104771,0.97846051,0.914937127
18,0,0,4,4,8,0.823070439,0.528299703,0.669949446,1.041314776,1.298152048,1.03173713
19,0,0,4,4,9,0.843171435,0.573739849,0.678553678,1.202122746,1.661673213,1.100570983
20,0,0,4,5,5,0.709069585,0.351926077,0.585651252,0.420733454,0.320237892,0.608232736
